band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1822488400.0,1700372200.0,1952446000.0,5.210349,4.492886,6.0711346,57390260.0,0.0324704791580774,0.2,-0.4,82614.46394596116,25.0,1822488448.0,0.0001792689942398,0.0321056695498556,0.2,-0.41,87149.27470445013,0.0,1751,19409.1,0.0890529,0.0,16617.0,0.0636497,0.0,13017.6,0.0653731,0.0,0.0
5,2078663600.0,1958257500.0,2202910200.0,3.2462797,2.77701,3.765562,57390260.0,0.0256640563210909,0.2,0.6,7035.343033668351,0.0,2078663552.0,0.0001792689942398,0.0253115359245571,0.22,0.4,51085.68484795324,0.0,2953,30151.8,0.0563297,0.0,25649.5,0.0323749,0.0,20931.7,0.0376481,0.0,0.0
8,1657425500.0,1561775600.0,1755770000.0,3.241509,2.821768,3.6960778,57390260.0,0.0232865797257156,0.2,0.5,6899.040692640692,0.0,1657425536.0,0.0001792689942398,0.0227442430612855,0.22,0.3,50063.81874987365,0.0,3502,26516.3,0.0561014,0.0,22611.3,0.0311805,0.0,18331.0,0.0360103,0.0,0.0
11,1358281200.0,1278466000.0,1439367400.0,3.3253546,2.994547,3.6758451,57390260.0,0.0322329044395836,0.2,-0.2,32861.18683738002,0.0,1358281216.0,0.0001792689942398,0.0312883542800216,0.2,-0.16,29157.44078661785,0.0,1969,19368.3,0.0807326,0.0,16614.4,0.0550134,0.0,13075.7,0.0571453,0.0,0.0
14,248553000.0,227111460.0,271037570.0,9.865507,8.433444,11.491579,57390260.0,0.0200755692790011,0.2,-0.6,24235.40303182656,0.0,248552992.0,0.0001792689942398,0.0190190436331233,0.2,-0.58,22367.48514820465,0.0,5253,6283.68,0.0824381,0.0,5408.22,0.0570059,0.0,4203.76,0.0580896,0.0,0.0
18,60670964.0,55490890.0,66323070.0,10.023994,7.3002524,14.030677,57390260.0,0.0178185214921886,0.2,-0.2,1412.279198751025,25.0,60670964.0,0.0001792689942398,0.01553545901249,0.25,-0.5,72227.3380952381,0.0,7879,4013.74,0.0663185,0.0,3451.62,0.0406076,0.0,2708.71,0.0427708,0.0,0.0
21,27571328.0,24696126.0,30742820.0,15.852201,11.615492,22.426954,57390260.0,0.0161186564793047,0.2,-0.6,2688.3693526517054,0.0,27571328.0,0.0001792689942398,0.0125670129522059,0.23,-0.7,25152.510817515777,0.0,11820,2135.38,0.0757247,0.0,1832.81,0.0505496,0.0,1427.33,0.0520304,0.0,0.0
24,19422758.0,16734777.0,22371064.0,29.68145,24.580843,35.559555,57390260.0,0.0067101683410433,0.2,-1.0,11902.415806415807,75.0,19422758.0,0.0001792689942398,0.0056796758587679,0.19,-1.0,6971.513843644045,0.0,56045,840.579,0.0908864,0.0,733.653,0.06678,0.0,555.042,0.0654394,0.0,0.0
27,5368814.5,4503685.5,6343471.0,41.978233,31.542048,57.036312,57390260.0,0.0136860505294913,0.2,-1.0,2111.660783660784,350.0,2972492.5,0.0001792689942398,0.01215056070508,0.24,-1.1,29640.99626603139,350.0,12619,386.692,0.088635,0.0,335.073,0.0649394,0.0,252.92,0.064149,0.0,0.0
31,156066.89,122312.52,206662.12,102.471054,46.86819,299.14786,57390260.0,0.0330766764882151,0.3,-1.2,7506.387039955582,350.0,61316.375,0.0001792689942398,0.0259124901038028,0.5,-1.27,91298.95026801668,450.0,2626,62.4963,0.0829255,0.0,53.6709,0.0605067,0.0,39.8632,0.0602121,0.0,0.0
